id|star|user_id|webtoon_id
301|40|4|2006
302|40|4|2401
303|40|4|2448
304|10|4|2132
305|25|4|2221
306|40|4|2178
307|20|4|2166
308|45|4|2357
309|40|4|2306
310|30|4|2067
311|30|4|2432
312|40|4|2274
313|45|4|2356
314|45|4|2165
315|40|4|2110
316|25|4|2549
317|40|4|2434
318|35|4|2235
319|5|4|2302
320|45|4|2325
321|35|4|2394
322|20|4|2024
323|50|4|2094
324|50|4|2102
325|35|4|2162
326|35|4|2137
327|25|4|2146
328|45|4|2425
329|30|4|2422
330|40|4|2019
331|25|4|2489
332|45|4|2462
333|50|1|707
338|40|4|2486
339|30|4|2004
340|30|4|2272
341|30|4|2014
342|40|4|2121
343|35|4|2348
344|30|4|2134
345|35|4|2142
346|35|4|2339
347|35|4|2304
348|35|4|2503
349|35|4|2423
350|35|4|2012
351|40|4|1988
352|30|4|2008
353|40|4|2468
354|35|4|2387
355|35|4|2361
356|30|4|2207
357|10|4|2246
358|40|4|2285
360|50|7|13
363|5|7|297
364|50|7|387
365|50|7|508
366|50|7|180
367|50|7|424
368|45|1|2
369|40|1|110
370|35|1|141
371|50|9|1055
372|35|4|2066
373|35|4|2773
374|40|4|2692
375|35|4|111
376|50|2|948
377|50|2|883
378|20|2|926
379|35|2|900
380|40|2|696
381|50|2|2276
382|50|3|141
383|35|3|211
384|50|3|707
385|45|3|1982
386|50|3|2074
387|25|3|2134
388|40|3|2180
389|45|3|2224
390|35|3|2272
391|45|3|2332
392|40|3|2179
393|45|3|1995
394|40|3|3202
395|40|3|2773
396|45|3|948
397|50|3|1055
398|40|3|696
399|40|3|900
400|5|2|2134
401|50|2|2345
402|40|2|1112
403|30|2|2167
404|25|2|2141
407|30|2|2224
408|35|2|2332
409|30|2|720
410|50|2|898
411|40|2|1155
412|50|1|948
413|40|3|2435
414|45|3|2137
415|50|3|2353
416|50|3|2357
417|40|3|2565
419|40|1|2773
420|45|1|2107
421|30|1|2096
422|5|1|2708
423|45|2|2773
424|50|2|2186
425|5|2|2760
426|40|2|2185
427|50|4|2070
428|50|7|707
429|50|7|696
430|50|7|1112
431|50|7|1155
432|50|7|1369
433|50|7|748
434|50|2|2823
435|30|4|1055
436|50|4|2396
437|50|4|1422
438|5|4|2193
439|5|4|2230
440|30|4|2011
441|25|4|2220
442|30|4|2312
443|40|4|2330
444|30|4|2566
445|35|4|1080
446|5|7|2762
447|45|7|762
448|35|4|328
449|45|4|760
450|30|2|760
451|40|3|760
452|40|3|748
453|40|3|1155
454|10|4|2598
455|30|4|2610
456|30|4|2611
457|50|3|2330
458|35|4|1098
459|45|4|988
460|50|4|646
461|40|4|650
462|45|4|909
463|45|1|2264
464|30|2|2273
465|40|3|3257
466|40|3|3256
467|40|3|3259
468|45|3|3260
469|50|3|3263
